word,meaning,example,exampleCn,category
daunt,使气馁,The complexity of the project did not daunt her.,这个项目的复杂性并没有吓倒她。,toefl
dearth,缺乏,There is a dearth of nurses in remote villages.,偏远村庄缺乏护士。,toefl
debilitate,使衰弱,Chronic stress can debilitate the immune system.,慢性压力会削弱免疫系统。,toefl
debunk,揭穿,The investigation debunked several myths about the outbreak.,调查揭穿了关于此次疫情的几个谣言。,toefl
decentralize,分散权力,The reform seeks to decentralize decision making.,这项改革旨在分散决策权。,toefl
decipher,破译,Scientists are still trying to decipher the symbols.,科学家仍在试图破译这些符号。,toefl
decrement,减少量,A small decrement in quality can hurt trust.,质量略有下降就可能损害信任。,toefl
deduce,推断,From the data we can deduce a clear trend.,我们可以从数据中推断出一个清晰趋势。,toefl
deference,敬重,He spoke with deference to senior scholars.,他对资深学者说话时很恭敬。,toefl
deflect,偏转,The spokesperson tried to deflect the criticism.,发言人试图转移批评。,toefl
delineate,描绘,The report delineates the causes of inequality.,报告清晰描绘了不平等的成因。,toefl
demarcate,划定界限,Fences demarcate the border between farms.,栅栏划定了农场之间的边界。,toefl
demean,贬低,Such jokes demean people in the workplace.,这种玩笑会贬低职场中的他人。,toefl
demographic,人口统计的,Demographic changes are reshaping the labor market.,人口结构变化正在重塑劳动力市场。,toefl
denounce,谴责,Several groups denounced the policy as discriminatory.,多个团体谴责这项政策具有歧视性。,toefl
depose,罢免,The rebels planned to depose the ruler.,叛军计划罢免这位统治者。,toefl
deprive,剥夺,Lack of sleep can deprive students of focus.,缺乏睡眠会让学生失去专注力。,toefl
deride,嘲笑,Critics derided the plan as unrealistic.,批评者嘲讽该计划不切实际。,toefl
desolate,荒凉的,The abandoned town looked desolate in winter.,这个被遗弃的小镇在冬天显得很荒凉。,toefl
despise,鄙视,She despises corruption in public office.,她鄙视公职领域的腐败。,toefl
destabilize,使不稳定,Rising prices may destabilize the region.,物价上涨可能会使该地区不稳定。,toefl
deteriorate,恶化,Air quality can deteriorate rapidly during fires.,火灾期间空气质量会迅速恶化。,toefl
detain,拘留,Police may detain suspects for questioning.,警方可以拘留嫌疑人进行问询。,toefl
deter,阻止,Higher fines can deter illegal dumping.,更高的罚款可以遏制非法倾倒。,toefl
detract,减损,Loud music can detract from the speaker's message.,嘈杂的音乐会削弱演讲内容的效果。,toefl
devise,设计,Engineers devised a cheaper cooling system.,工程师设计出了一种更便宜的冷却系统。,toefl
devolve,移交,Responsibilities will devolve to local authorities.,职责将下放给地方当局。,toefl
diagnose,诊断,Doctors quickly diagnosed the rare infection.,医生很快诊断出了这种罕见感染。,toefl
dictate,口述命令,Do not let fear dictate your choices.,不要让恐惧左右你的选择。,toefl
dilute,稀释,Adding water will dilute the solution.,加水会稀释该溶液。,toefl
diminish,减少,Over time the pain began to diminish.,随着时间推移，疼痛开始减轻。,toefl
diplomacy,外交手腕,Quiet diplomacy prevented a major conflict.,低调的外交斡旋避免了一场重大冲突。,toefl
disarray,混乱,The sudden storm threw the schedule into disarray.,突如其来的暴风雨让日程陷入混乱。,toefl
discern,识别,It is hard to discern truth from rumor online.,在网上很难分辨真相与谣言。,toefl
disclaim,否认,The company disclaimed responsibility for the leak.,该公司否认对这次泄露负责。,toefl
disclose,透露,Applicants must disclose all sources of funding.,申请者必须披露所有资金来源。,toefl
discompose,使不安,The accusation seemed to discompose him.,这项指控似乎让他心神不宁。,toefl
discord,不和,Economic pressure created discord within the coalition.,经济压力在联盟内部造成了不和。,toefl
discreet,谨慎的,She made a discreet exit after the meeting.,她在会后低调离开了。,toefl
discriminate,区分,We must not discriminate against any applicant.,我们不应歧视任何申请者。,toefl
disdain,轻视,He looked at the offer with open disdain.,他对这份报价表现出明显轻蔑。,toefl
disintegrate,解体,Trust can disintegrate after repeated lies.,反复撒谎后，信任会瓦解。,toefl
dismal,阴沉的,Sales figures were dismal this quarter.,本季度销售数据十分惨淡。,toefl
dismantle,拆除,Workers began to dismantle the old bridge.,工人们开始拆除这座旧桥。,toefl
dispel,驱散,Clear communication can dispel unnecessary fears.,清晰的沟通可以消除不必要的恐惧。,toefl
disperse,分散,The crowd began to disperse after the concert.,音乐会结束后，人群开始散去。,toefl
displace,取代,Automation may displace some routine jobs.,自动化可能会取代一些常规岗位。,toefl
disputable,有争议的,His conclusion is still disputable.,他的结论仍有争议。,toefl
disrupt,扰乱,Power cuts can disrupt hospital operations.,停电会扰乱医院运作。,toefl
dissent,异议,The proposal passed despite strong dissent.,尽管有强烈反对意见，这项提案仍获通过。,toefl
distinguish,区分,Good readers distinguish fact from opinion.,好读者能区分事实和观点。,toefl
distort,歪曲,Social media can distort public debate.,社交媒体可能会扭曲公共讨论。,toefl
distract,分心,Constant alerts distract students from study.,持续弹出的提醒会让学生分心。,toefl
divulge,泄露,The witness refused to divulge her source.,这名证人拒绝透露她的消息来源。,toefl
doctrine,教义学说,The school adopted a strict teaching doctrine.,这所学校采用了严格的教学理念。,toefl
dormant,休眠的,The volcano has been dormant for centuries.,这座火山已经沉寂了几个世纪。,toefl
dubious,可疑的,His claim sounded dubious from the start.,他的说法从一开始就很可疑。,toefl
durable,耐久的,We need durable materials for the roof.,我们需要耐用的屋顶材料。,toefl
dynamic,动态的,The city has a dynamic startup scene.,这座城市的创业生态非常活跃。,toefl
eccentric,古怪的,Her eccentric style made her memorable.,她古怪的风格让人印象深刻。,toefl
ecological,生态的,Ecological damage can last for decades.,生态破坏可能持续数十年。,toefl
elucidate,阐明,The professor used a chart to elucidate the theory.,教授用图表阐明了这个理论。,toefl
elusive,难以捉摸的,A complete solution remains elusive.,一个完整的解决方案仍然难以捉摸。,toefl
embark,开始着手,The team will embark on a two year study.,团队将开始一项为期两年的研究。,toefl
embody,体现,Her work embodies patience and precision.,她的作品体现了耐心与精准。,toefl
emerge,出现,New evidence continues to emerge.,新证据不断出现。,toefl
eminent,卓越的,An eminent linguist delivered the keynote.,一位杰出的语言学家发表了主题演讲。,toefl
empirical,经验主义的,The conclusion must rest on empirical evidence.,这个结论必须基于实证证据。,toefl
emulate,仿效,Young players often emulate their idols.,年轻选手常常模仿他们的偶像。,toefl
enchant,使着迷,The old story still enchants children.,这个古老故事至今仍让孩子们着迷。,toefl
encroach,侵犯,Factories began to encroach on farmland.,工厂开始侵占农田。,toefl
endeavor,努力尝试,We should endeavor to reduce waste.,我们应努力减少浪费。,toefl
endorse,支持背书,Three unions endorsed the agreement.,三个工会都支持这项协议。,toefl
endure,忍受持久,Small firms struggle to endure long recessions.,小企业很难熬过长期衰退。,toefl
enforce,执行,Authorities promised to enforce the new rules.,当局承诺严格执行新规。,toefl
enhance,提升,Better lighting can enhance classroom focus.,更好的照明能提升课堂专注度。,toefl
enigma,谜团,The disappearance remains an enigma.,这次失踪仍是个谜。,toefl
enlighten,启发,Her lecture enlightened us about migration history.,她的讲座让我们更了解迁徙史。,toefl
enrich,充实,Travel can enrich your worldview.,旅行能丰富你的世界观。,toefl
enroll,注册入学,Over 500 students enrolled in the course.,超过500名学生注册了这门课程。,toefl
ensure,确保,Double check the data to ensure accuracy.,请反复核对数据以确保准确。,toefl
entail,牵涉导致,Expanding the program will entail higher costs.,扩大该项目将带来更高成本。,toefl
entity,实体,Each legal entity must file separately.,每个法律实体都必须单独申报。,toefl
enumerate,列举,Please enumerate the risks in your report.,请在报告中逐项列举风险。,toefl
envisage,设想,We envisage a greener transport system.,我们设想建立更绿色的交通系统。,toefl
epidemic,流行病,The city acted quickly to contain the epidemic.,该市迅速行动以控制这场流行病。,toefl
ephemeral,短暂的,Online fame is often ephemeral.,网络名气往往转瞬即逝。,toefl
epicenter,震中核心,The village lay near the epicenter of the quake.,这个村庄位于地震震中附近。,toefl
epitome,典范,Her calm leadership was the epitome of professionalism.,她沉稳的领导力堪称职业精神的典范。,toefl
equate,等同,Do not equate wealth with happiness.,不要把财富等同于幸福。,toefl
equilibrium,平衡,The market reached a new equilibrium.,市场达到了新的均衡。,toefl
eradicate,根除,The campaign aims to eradicate malaria.,这项行动旨在根除疟疾。,toefl
erode,侵蚀,Heavy rain can erode the riverbank.,暴雨会侵蚀河岸。,toefl
escalate,升级,Tensions could escalate without dialogue.,如果缺乏对话，紧张局势可能升级。,toefl
essence,本质,Trust is the essence of teamwork.,信任是团队合作的核心。,toefl
essential,必不可少的,Clean water is essential for health.,清洁饮水对健康至关重要。,toefl
establish,建立,The team established a clear timeline.,团队建立了清晰的时间表。,toefl
esteem,尊重,She is held in high esteem by colleagues.,她在同事中享有很高声望。,toefl
estimate,估计,We estimate completion by late May.,我们预计将在五月下旬完成。,toefl
ethics,伦理,Ethics should guide every medical decision.,伦理应指导每一项医疗决策。,toefl
evade,逃避,The suspect tried to evade capture.,嫌疑人试图逃避抓捕。,toefl
evaluate,评估,Please evaluate the proposal objectively.,请客观评估这份提案。,toefl
evoke,唤起,The photo can evoke strong memories.,这张照片能唤起强烈回忆。,toefl
evolve,演变,Languages evolve over time.,语言会随着时间演变。,toefl
exacerbate,恶化,Delays may exacerbate public frustration.,延误可能会加剧公众不满。,toefl
excel,擅长,He continues to excel in statistics.,他在统计学方面持续表现出色。,toefl
excerpt,摘录,I read an excerpt from her new book.,我读了她新书的一段摘录。,toefl
exclude,排除,We cannot exclude that possibility yet.,我们还不能排除那种可能性。,toefl
execute,执行处决,The agency failed to execute the plan.,该机构未能执行这项计划。,toefl
exemplify,例证说明,This case exemplifies systemic bias.,这个案例很好地说明了系统性偏见。,toefl
facilitate,促进,Shared tools facilitate remote collaboration.,共享工具有助于促进远程协作。,toefl
faction,派系,A rival faction challenged the leader.,一个对立派系挑战了领导人。,toefl
feasible,可行的,Your plan sounds feasible in practice.,你的方案在实践中可行。,toefl
fervent,热烈的,She remained a fervent supporter of reform.,她始终是改革的热情支持者。,toefl
fidelity,忠诚准确性,The recording has excellent sound fidelity.,这段录音的音质保真度很高。,toefl
fluctuate,波动,Prices fluctuate with seasonal demand.,价格会随季节性需求波动。,toefl
formidable,强大的,They faced a formidable opponent.,他们遇到了一个强大的对手。,toefl
formulate,制定,Scientists formulated a new hypothesis.,科学家提出了一个新假设。,toefl
foster,促进培养,Schools should foster curiosity.,学校应培养好奇心。,toefl
fragment,碎片,The mirror broke into a fragment.,镜子碎成了一块碎片。,toefl
fragile,脆弱的,The peace deal is still fragile.,这份和平协议仍然脆弱。,toefl
framework,框架,We need a legal framework for AI.,我们需要一套人工智能法律框架。,toefl
friction,摩擦分歧,Poor communication creates friction between teams.,沟通不畅会在团队间产生摩擦。,toefl
frugal,节俭的,He is frugal with both time and money.,他在时间和金钱上都很节俭。,toefl
futile,徒劳的,Further argument would be futile.,继续争论只会徒劳无功。,toefl
galvanize,激励,The speech galvanized volunteers into action.,这次演讲激励志愿者立即行动。,toefl
generic,通用的,The form gives only generic advice.,这份表格只给出笼统建议。,toefl
genuine,真正的,Her apology sounded genuine.,她的道歉听起来很真诚。,toefl
germinate,发芽萌生,New ideas often germinate during travel.,新想法常在旅行中萌生。,toefl
gist,要点,I got the gist of the article.,我抓住了这篇文章的要点。,toefl
gradual,逐渐的,Recovery was slow but gradual.,复苏虽然缓慢但在逐步推进。,toefl
grant,授予,The foundation will grant scholarships to ten students.,该基金会将向十名学生发放奖学金。,toefl
grievance,不满,Workers filed a formal grievance.,工人们提交了正式申诉。,toefl
grim,严峻的,The report paints a grim picture.,这份报告描绘了严峻前景。,toefl
habitat,栖息地,Pollution destroyed the birds' habitat.,污染破坏了鸟类的栖息地。,toefl
hamper,妨碍,Red tape can hamper innovation.,繁琐手续会妨碍创新。,toefl
harbor,庇护港口,The small harbor was full of fishing boats.,这个小港湾停满了渔船。,toefl
hasten,加速,Better transport could hasten recovery.,更好的交通能加快复苏。,toefl
hedge,对冲回避,Investors hedge against inflation.,投资者通过对冲来防范通胀风险。,toefl
hierarchy,等级体系,The company has a flat hierarchy.,这家公司实行扁平化层级结构。,toefl
holistic,整体的,We need a holistic approach to education.,我们需要一种整体性的教育方法。,toefl
homogeneous,同质的,The sample was too homogeneous.,这个样本过于同质化。,toefl
hypothesis,假设,Their hypothesis was later confirmed.,他们的假设后来得到了证实。,toefl
identical,完全相同的,The two results were nearly identical.,这两个结果几乎完全相同。,toefl
ideology,意识形态,Ideology should not replace evidence.,意识形态不应取代证据。,toefl
ignorant,无知的,He was ignorant of the local customs.,他不了解当地习俗。,toefl
illicit,非法的,Police uncovered an illicit market.,警方捣毁了一个非法市场。,toefl
illuminate,照亮阐明,The findings illuminate a hidden pattern.,这些发现揭示了一个隐藏模式。,toefl
illusion,幻觉,The calm surface created an illusion of safety.,平静的表面制造了安全的假象。,toefl
illustrate,说明,Let me illustrate the idea with an example.,让我用一个例子来说明这个观点。,toefl
immense,巨大的,She felt immense relief after the exam.,考试结束后她感到无比轻松。,toefl
imminent,即将发生的,A major storm is imminent.,一场大风暴即将到来。,toefl
immerse,沉浸,Reading can immerse you in another world.,阅读能让你沉浸在另一个世界。,toefl
immutable,不可改变的,The laws of physics are not immutable.,物理规律并非不可改变。,toefl
impact,影响,The policy had a positive impact on wages.,这项政策对工资产生了积极影响。,toefl
impartial,公正的,Judges must remain impartial.,法官必须保持公正。,toefl
impede,阻碍,Heavy snow will impede traffic.,大雪将阻碍交通。,toefl
imperative,必要的,It is imperative to protect privacy.,保护隐私是当务之急。,toefl
implement,实施,We plan to implement the update next month.,我们计划下个月实施这次更新。,toefl
implicate,牵连暗示,The evidence could implicate senior officials.,这份证据可能牵连到高级官员。,toefl
implicit,含蓄的,The contract contains an implicit promise.,合同中包含一项默认承诺。,toefl
impose,强加,The city may impose stricter limits.,该市可能会施加更严格限制。,toefl
impoverish,使贫困,Conflict can impoverish entire regions.,冲突会让整个地区陷入贫困。,toefl
incentive,激励,Bonuses provide an incentive to improve.,奖金为改进提供了激励。,toefl
incidence,发生率,The incidence of flu rises in winter.,冬季流感发病率会上升。,toefl
incline,倾向,Young voters incline toward reform.,年轻选民倾向于改革。,toefl
inclusive,包容的,We want an inclusive workplace culture.,我们希望打造包容的职场文化。,toefl
incorporate,纳入,The final draft will incorporate your feedback.,最终稿将纳入你的反馈。,toefl
indispensable,不可或缺的,Trust is indispensable in leadership.,在领导工作中，信任不可或缺。,toefl
induce,诱导导致,Bright light can induce headaches.,强光会诱发头痛。,toefl
inevitable,不可避免的,Some mistakes are inevitable in research.,在研究中，一些错误不可避免。,toefl
infer,推断,From these numbers we can infer demand.,我们可以从这些数字推断需求。,toefl
inflate,膨胀夸大,Rumors can inflate expectations.,谣言会抬高预期。,toefl
inhibit,抑制,Fear can inhibit creativity.,恐惧会抑制创造力。,toefl
innate,天生的,She has an innate sense of rhythm.,她天生就有节奏感。,toefl
innovate,创新,Small teams often innovate faster.,小团队往往创新更快。,toefl
inquire,询问调查,I called to inquire about the vacancy.,我打电话来询问这个职位空缺。,toefl
insight,洞察,Her essay offers insight into social anxiety.,她的文章对社交焦虑给出了深刻洞见。,toefl
inspire,激励,Great teachers inspire confidence.,优秀教师会激发自信。,toefl
integral,不可分割的,Data security is integral to the system.,数据安全是该系统不可分割的一部分。,toefl
integrate,整合,Newcomers need time to integrate.,新人需要时间融入。,toefl
integrity,诚信完整性,Academic integrity matters deeply here.,学术诚信在这里至关重要。,toefl
intense,强烈的,Competition was intense this year.,今年竞争非常激烈。,toefl
interim,过渡期间的,An interim manager will lead the team.,一位临时经理将领导团队。,toefl
intervene,干预,Doctors had to intervene immediately.,医生不得不立即进行干预。,toefl
intricate,复杂精细的,The watch has an intricate design.,这块手表的设计非常精巧复杂。,toefl
intrinsic,内在的,Curiosity is an intrinsic human trait.,好奇心是人类内在的特质。,toefl
intuition,直觉,His intuition proved correct.,他的直觉被证明是正确的。,toefl
invalidate,使无效,Missing signatures may invalidate the contract.,缺少签名可能使合同无效。,toefl
invoke,援引,The lawyer invoked a constitutional right.,律师援引了一项宪法权利。,toefl
jeopardize,危及,One error could jeopardize the mission.,一个错误就可能危及整个任务。,toefl
jurisdiction,管辖权,The case is outside our jurisdiction.,这个案件不在我们的管辖范围内。,toefl
justify,证明正当,Can you justify the extra expense?,你能证明这笔额外开支合理吗？,toefl
keen,敏锐的,She is keen to join the program.,她很想加入这个项目。,toefl
kindle,点燃激发,Her words kindled hope.,她的话点燃了希望。,toefl
laborious,费力的,Manual entry is slow and laborious.,手工录入既缓慢又费力。,toefl
lament,哀叹,Residents lament the loss of old trees.,居民们为老树被砍而哀叹。,toefl
lapse,失误流逝,A brief lapse in attention caused the crash.,一时疏忽导致了这次事故。,toefl
latent,潜在的,The tests revealed latent defects.,测试暴露了潜在缺陷。,toefl
leverage,杠杆影响力,Startups leverage cloud services to scale.,初创公司利用云服务实现扩展。,toefl
liaise,联络协调,Our office will liaise with local partners.,我们办公室将与当地合作方进行联络协调。,toefl
liberal,宽容的,The policy reflects a liberal approach.,这项政策体现了较为开明的做法。,toefl
literal,字面的,Do not take that joke in a literal sense.,不要按字面意思理解那个玩笑。,toefl
lucrative,有利可图的,He moved into the lucrative biotech sector.,他转入了利润丰厚的生物科技行业。,toefl
magnitude,规模,We underestimated the magnitude of the problem.,我们低估了这个问题的规模。,toefl
maintain,维持,Please maintain a safe distance.,请保持安全距离。,toefl
manipulate,操纵,The image was manipulated for effect.,这张图片被人为处理过。,toefl
marginal,边缘的,The budget increase was marginal.,预算增幅很小。,toefl
mediate,调解,A neutral team will mediate the dispute.,一个中立团队将调解这场争端。,toefl
meticulous,一丝不苟的,Her meticulous notes impressed everyone.,她一丝不苟的笔记给所有人留下深刻印象。,toefl
migrate,迁移,Many birds migrate south in winter.,许多鸟类在冬天迁徙到南方。,toefl
mimic,模仿,The app can mimic natural conversation.,这款应用可以模仿自然对话。,toefl
minimal,最小的,The risk is minimal.,风险非常小。,toefl
mitigate,缓解,New trees can mitigate heat in cities.,新增树木可以缓解城市热度。,toefl
mobilize,动员,The campaign mobilized thousands of volunteers.,这场活动动员了数千名志愿者。,toefl
moderate,适度的,The chair kept the discussion moderate.,主持人让讨论保持在温和范围内。,toefl
modify,修改,We need to modify the timeline.,我们需要修改时间表。,toefl
monitor,监测,Nurses monitor patients around the clock.,护士全天候监测病人情况。,toefl
morale,士气,Clear communication improves team morale.,清晰沟通能提升团队士气。,toefl
mundane,平凡的,He turned a mundane task into a game.,他把一项平凡任务变成了游戏。,toefl
mutual,相互的,Respect must be mutual.,尊重应该是相互的。,toefl
narrative,叙述,The film follows a nonlinear narrative.,这部电影采用了非线性叙事。,toefl
negligible,可忽略的,The difference was negligible.,差异小到可以忽略。,toefl
neutral,中立的,Switzerland remained neutral in the conflict.,瑞士在这场冲突中保持中立。,toefl
notorious,臭名昭著的,The prison is notorious for harsh conditions.,这座监狱因条件恶劣而臭名昭著。,toefl
novice,新手,As a novice he asked basic questions.,作为新手，他问了许多基础问题。,toefl
nurture,培养,Parents should nurture curiosity.,父母应培养孩子的好奇心。,toefl
objective,客观的,Please stay objective when reviewing the data.,评审数据时请保持客观。,toefl
obscure,模糊的,The meaning remained obscure.,这个含义仍然晦涩难懂。,toefl
obtain,获得,You must obtain permission first.,你必须先获得许可。,toefl
offset,抵消,Higher sales can offset rising costs.,更高的销量可以抵消上涨的成本。,toefl
omit,省略,Do not omit key evidence.,不要遗漏关键证据。,toefl
ongoing,持续的,Negotiations are still ongoing.,谈判仍在进行中。,toefl
opaque,不透明的,The process is too opaque for the public.,这个流程对公众而言过于不透明。,toefl
optimal,最佳的,Morning is the optimal time for practice.,早晨是练习的最佳时间。,toefl
ordeal,严峻考验,Recovery was a long ordeal.,康复过程是一场漫长考验。,toefl
orient,使适应方向,The guide helped us orient ourselves in the city.,导游帮助我们在城市里辨明方向。,toefl
outcome,结果,The outcome exceeded expectations.,结果超出了预期。,toefl
outweigh,超过,The benefits outweigh the risks.,收益大于风险。,toefl
overall,总体的,Overall performance improved this quarter.,总体表现在本季度有所提升。,toefl
paradox,悖论,It is a paradox that choice can reduce satisfaction.,选择越多反而满意度越低，这是一种悖论。,toefl
paradigm,范式,The internet changed the business paradigm.,互联网改变了商业范式。,toefl
parallel,平行的,The two roads run parallel for miles.,这两条路平行延伸了数英里。,toefl
parameter,参数,We adjusted one parameter at a time.,我们一次只调整一个参数。,toefl
partial,部分的,The report gave only a partial picture.,这份报告只呈现了部分图景。,toefl
participant,参与者,Each participant completed a survey.,每位参与者都完成了一份问卷。,toefl
passive,被动的,Passive learning rarely builds deep skill.,被动学习很难建立深层技能。,toefl
perceive,感知,Children perceive patterns quickly.,孩子能很快感知到规律。,toefl
persistent,持续的,She remained persistent despite setbacks.,尽管受挫，她依然坚持不懈。,toefl
perspective,视角,Travel gave him a broader perspective.,旅行让他拥有了更开阔的视角。,toefl
plausible,看似合理的,Her explanation sounds plausible.,她的解释听起来很合理。,toefl
pledge,承诺,The mayor made a pledge to cut emissions.,市长承诺要减少排放。,toefl
plural,多元的,English has both singular and plural forms.,英语既有单数形式也有复数形式。,toefl
polarize,使两极化,The issue continues to polarize voters.,这个议题持续使选民两极分化。,toefl
portray,描绘,The film portrays rural life with warmth.,这部电影温暖地描绘了乡村生活。,toefl
pragmatic,务实的,We need a pragmatic solution today.,我们今天需要一个务实的解决方案。,toefl
precede,先于,A short warm up should precede exercise.,运动前应先进行简短热身。,toefl
precise,精确的,Please give me a precise figure.,请给我一个精确数字。,toefl
predict,预测,Experts struggle to predict earthquakes.,专家仍难以预测地震。,toefl
preliminary,初步的,The preliminary results look promising.,初步结果看起来很有希望。,toefl
premise,前提,The argument rests on a false premise.,这个论证建立在错误前提上。,toefl
preserve,保护,Museums preserve cultural memory.,博物馆保存着文化记忆。,toefl
presume,假定,I presume you have read the report.,我想你已经读过这份报告了。,toefl
prevail,盛行获胜,In the end fairness prevailed.,最终，公平占了上风。,toefl
primary,主要的,Safety is our primary concern.,安全是我们的首要关注点。,toefl
principle,原则,He refused to compromise his principle.,他拒绝在原则问题上妥协。,toefl
prior,先前的,Prior experience is not required.,不要求有相关经验。,toefl
privilege,特权,Access to clean water is a basic right not a privilege.,获得清洁用水是基本权利，而不是特权。,toefl
probe,探查,Investigators continue to probe the cause.,调查人员仍在深入追查原因。,toefl
profound,深刻的,The book had a profound influence on me.,这本书对我产生了深远影响。,toefl
prohibit,禁止,Campus rules prohibit smoking.,校规禁止吸烟。,toefl
promote,促进,The campaign promotes healthy eating.,这项活动倡导健康饮食。,toefl
prompt,促使迅速的,The alarm should prompt immediate action.,警报应促使人们立即行动。,toefl
proportion,比例,A large proportion of voters are under thirty.,三十岁以下选民占很大比例。,toefl
prospect,前景,The job prospect looks promising.,这份工作前景看好。,toefl
protocol,协议,Please follow the safety protocol.,请遵守安全流程。,toefl
provoke,激起,His remark provoked laughter.,他那句话引发了笑声。,toefl
prudent,谨慎的,It is prudent to keep a backup.,留好备份是明智的做法。,toefl
psychology,心理学,She is studying psychology at university.,她在大学学习心理学。,toefl
pulse,脉搏脉冲,The nurse checked his pulse twice.,护士给他测了两次脉搏。,toefl
qualitative,定性的,We need qualitative feedback not just numbers.,我们需要定性反馈，而不只是数字。,toefl
quantify,量化,We must quantify the real impact.,我们必须量化实际影响。,toefl
radical,根本的,They proposed a radical reform.,他们提出了一项激进改革。,toefl
random,随机的,The sample was selected at random.,样本是随机抽取的。,toefl
rational,理性的,Her decision was calm and rational.,她的决定冷静而理性。,toefl
rebound,反弹,Profits began to rebound in spring.,利润在春季开始回升。,toefl
reciprocal,互惠的,Their support was reciprocal.,他们的支持是互惠的。,toefl
refine,完善提炼,She refined the draft overnight.,她连夜完善了草稿。,toefl
regime,体制,The new regime introduced strict controls.,新政权引入了严格管控。,toefl
reinforce,加强,Repetition helps reinforce memory.,重复练习有助于强化记忆。,toefl
reject,拒绝,The board rejected the proposal.,董事会否决了该提案。,toefl
relevant,相关的,Please include only relevant details.,请只包含相关细节。,toefl
resilient,有韧性的,Children can be remarkably resilient.,孩子们往往表现出惊人的韧性。,toefl
restrain,抑制,He struggled to restrain his anger.,他努力克制自己的愤怒。,toefl
rigorous,严谨的,The exam follows rigorous standards.,这场考试遵循严格标准。,toefl
robust,强健的,We need a robust backup plan.,我们需要一个稳健的备用方案。,toefl
rupture,破裂,The earthquake caused a pipeline rupture.,地震导致一条管道破裂。,toefl
skeptical,怀疑的,Investors remain skeptical of the forecast.,投资者仍对该预测持怀疑态度。,toefl
substantial,大量的,We made substantial progress this year.,我们今年取得了实质性进展。,toefl
sustain,维持支撑,Solar power helps sustain remote communities.,太阳能有助于维持偏远社区运转。,toefl
